height,time,proposer_address,next_proposer_address,num_txs
174283,2025-04-28 13:16:43.237799132+00:00,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,Unknown,74
174284,2025-04-28 13:16:53.343331103+00:00,35F6C0359084C37EF6EB4061B694386910093B99,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,72
174285,2025-04-28 13:17:03.621637398+00:00,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,35F6C0359084C37EF6EB4061B694386910093B99,72
174286,2025-04-28 13:17:13.669815837+00:00,C268FE001A533B6F0860167381384363A790FD0D,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,68
174287,2025-04-28 13:17:19.455235046+00:00,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,C268FE001A533B6F0860167381384363A790FD0D,75
174288,2025-04-28 13:17:34.072254485+00:00,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,73
174289,2025-04-28 13:17:44.101614605+00:00,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,78
174290,2025-04-28 13:17:54.049266960+00:00,1A4B644C16A4A1904618F8D3C0F6A67223038390,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,68
174291,2025-04-28 13:18:04.541431126+00:00,A8F38FCB39B580C4B856DCAED882D504A216EE00,1A4B644C16A4A1904618F8D3C0F6A67223038390,77
174292,2025-04-28 13:18:14.558289246+00:00,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,A8F38FCB39B580C4B856DCAED882D504A216EE00,73
174293,2025-04-28 13:18:24.745173286+00:00,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,76
174294,2025-04-28 13:18:35.689814552+00:00,5295664886565F43A3074140551A755872BF6FFD,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,71
174295,2025-04-28 13:18:45.915465941+00:00,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,5295664886565F43A3074140551A755872BF6FFD,75
174296,2025-04-28 13:18:56.059057821+00:00,43804074334AC6111233037EFE20105C516B0E9F,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,71
174297,2025-04-28 13:19:06.295431340+00:00,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,43804074334AC6111233037EFE20105C516B0E9F,78
174298,2025-04-28 13:19:16.646524312+00:00,EC033669FE506006F870BD8B12CB524A3ABC3693,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,74
174299,2025-04-28 13:19:27.564796101+00:00,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,EC033669FE506006F870BD8B12CB524A3ABC3693,86
174300,2025-04-28 13:19:37.724892625+00:00,33ECD5899A91105BB4E51066EB138189BC3825AD,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,72
