height,timestamp,chain_id,proposer_address,num_transactions,num_signatures,num_validators,unique_validator_addresses,max_voting_power,min_voting_power,total_voting_power,max_proposer_priority,max_priority_address,min_proposer_priority,min_priority_address,matches_min_priority,matches_prev_max_priority,proposer_rank_in_prev
181393,2025-04-29T09:16:29.312211262Z,bbn-1,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,96,100,100,100,58550557,658,1305195157,696133309,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,-1449279221,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,,
181394,2025-04-29T09:16:44.203872414Z,bbn-1,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,71,100,100,100,58550557,658,1305195157,712547512,5295664886565F43A3074140551A755872BF6FFD,-1449256563,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181395,2025-04-29T09:16:54.80743019Z,bbn-1,5295664886565F43A3074140551A755872BF6FFD,68,100,100,100,58550557,658,1305195157,709680502,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,-1449233905,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181396,2025-04-29T09:17:05.108939432Z,bbn-1,77BE23139B650D69EDE7985B31FD7B1CEE9CA7D3,70,100,100,100,58550557,658,1305195157,728148203,43804074334AC6111233037EFE20105C516B0E9F,-1449211247,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181397,2025-04-29T09:17:15.17855586Z,bbn-1,43804074334AC6111233037EFE20105C516B0E9F,75,100,100,100,58550557,658,1305195157,714315064,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,-1449188589,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181398,2025-04-29T09:17:25.488488856Z,bbn-1,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,71,100,100,100,58550557,658,1305195157,725027045,35F6C0359084C37EF6EB4061B694386910093B99,-1449165931,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181399,2025-04-29T09:17:35.473314277Z,bbn-1,35F6C0359084C37EF6EB4061B694386910093B99,76,100,100,100,58550557,658,1305195157,685053089,CCB2909DCD316FC5E738DCDB1F14360F04B44320,-1449143273,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181400,2025-04-29T09:17:45.826960087Z,bbn-1,1A4B644C16A4A1904618F8D3C0F6A67223038390,73,100,100,100,58550557,658,1305195157,701594058,1A4B644C16A4A1904618F8D3C0F6A67223038390,-1449120615,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,3.0
181401,2025-04-29T09:18:00.77238848Z,bbn-1,1A4B644C16A4A1904618F8D3C0F6A67223038390,79,100,100,100,58550557,658,1305195157,694594521,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1449097957,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181402,2025-04-29T09:18:11.26766859Z,bbn-1,33ECD5899A91105BB4E51066EB138189BC3825AD,73,100,100,100,58550557,658,1305195157,715711171,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1449075299,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,4.0
181403,2025-04-29T09:18:21.487959605Z,bbn-1,671D816776E8C7FAE18DC122FB6DC231956C6D48,69,100,100,100,58550557,658,1305195157,732469389,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,-1449052641,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181404,2025-04-29T09:18:31.419763116Z,bbn-1,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,72,100,100,100,58550557,658,1305195157,753584959,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,-1449029983,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,2.0
181405,2025-04-29T09:18:41.564788204Z,bbn-1,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,78,100,100,100,58550557,658,1305195157,759454486,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,-1449007325,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
