height,timestamp,chain_id,proposer_address,num_transactions,num_signatures,num_validators,unique_validator_addresses,max_voting_power,min_voting_power,total_voting_power,max_proposer_priority,max_priority_address,min_proposer_priority,min_priority_address,matches_min_priority,matches_prev_max_priority,proposer_rank_in_prev
181152,2025-04-29T08:35:45.277703015Z,bbn-1,D7076D16C2E91E0EB16753575AC3CEE3057781C0,91,100,100,100,58550557,658,1305195157,840113155,C4EF42D72D69F4B58FFE2A58DB1335269842AC43,-1454739799,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,,
181153,2025-04-29T08:35:51.162801456Z,bbn-1,C4EF42D72D69F4B58FFE2A58DB1335269842AC43,73,100,100,100,58550557,658,1305195157,848494926,913834357F92E577CDC02B1E682C65E86D016AE5,-1454717141,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181154,2025-04-29T08:35:57.344209057Z,bbn-1,913834357F92E577CDC02B1E682C65E86D016AE5,80,100,100,100,58550557,658,1305195157,843676440,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,-1454694483,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181155,2025-04-29T08:36:07.442206781Z,bbn-1,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,81,100,100,100,58550557,658,1305195157,868011407,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,-1454671825,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181156,2025-04-29T08:36:17.38858468Z,bbn-1,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,84,100,100,100,58550557,658,1305195157,886544431,3965C223E13AC66F8175C86E657D396C711964B7,-1454649167,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181157,2025-04-29T08:36:27.447451722Z,bbn-1,EC033669FE506006F870BD8B12CB524A3ABC3693,104,100,100,100,58550557,658,1305195157,909871265,3965C223E13AC66F8175C86E657D396C711964B7,-1454626509,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,2.0
181158,2025-04-29T08:36:38.306542862Z,bbn-1,3965C223E13AC66F8175C86E657D396C711964B7,81,100,100,100,58550557,658,1305195157,877784637,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,-1454603851,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181159,2025-04-29T08:36:48.381941564Z,bbn-1,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,79,100,100,100,58550557,658,1305195157,813941678,410C1EBAF54C090F0A9132DFA9F79E0F480B2C06,-1454581193,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181160,2025-04-29T08:36:58.730195964Z,bbn-1,410C1EBAF54C090F0A9132DFA9F79E0F480B2C06,87,100,100,100,58550557,658,1305195157,829018874,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,-1454558535,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181161,2025-04-29T08:37:08.944809594Z,bbn-1,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,97,100,100,100,58550557,658,1305195157,849086294,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,-1454535877,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,2.0
181162,2025-04-29T08:37:18.996899964Z,bbn-1,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,77,100,100,100,58550557,658,1305195157,892763596,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,-1454513219,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,5.0
181163,2025-04-29T08:37:29.057616646Z,bbn-1,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,76,100,100,100,58550557,658,1305195157,915776713,33ECD5899A91105BB4E51066EB138189BC3825AD,-1454490561,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181164,2025-04-29T08:37:39.560180459Z,bbn-1,33ECD5899A91105BB4E51066EB138189BC3825AD,91,100,100,100,58550557,658,1305195157,958302965,5295664886565F43A3074140551A755872BF6FFD,-1454467903,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181165,2025-04-29T08:37:49.708814714Z,bbn-1,5295664886565F43A3074140551A755872BF6FFD,72,100,100,100,58550557,658,1305195157,931845749,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1454445245,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181166,2025-04-29T08:38:00.049129338Z,bbn-1,43804074334AC6111233037EFE20105C516B0E9F,69,100,100,100,58550557,658,1305195157,952962399,671D816776E8C7FAE18DC122FB6DC231956C6D48,-1454422587,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,4.0
181167,2025-04-29T08:38:10.371921584Z,bbn-1,671D816776E8C7FAE18DC122FB6DC231956C6D48,70,100,100,100,58550557,658,1305195157,969975497,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,-1454399929,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181168,2025-04-29T08:38:20.38655637Z,bbn-1,E2FC4DF9E7870FC8238136FACA07A120CC078A0C,67,100,100,100,58550557,658,1305195157,989558234,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,-1454377271,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181169,2025-04-29T08:38:30.419201811Z,bbn-1,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,69,100,100,100,58550557,658,1305195157,995571203,1B03AB3C744545B281D224127708A9EC7487E58C,-1454354613,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181170,2025-04-29T08:38:41.087184168Z,bbn-1,1B03AB3C744545B281D224127708A9EC7487E58C,91,100,100,100,58550557,658,1305195157,1002602621,B03F0CB997F3428EF3968833BCA2F2A4F613A8EB,-1454331955,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181171,2025-04-29T08:38:51.200665082Z,bbn-1,B03F0CB997F3428EF3968833BCA2F2A4F613A8EB,69,100,100,100,58550557,658,1305195157,977995007,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,-1454309297,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181172,2025-04-29T08:39:01.382164245Z,bbn-1,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,70,100,100,100,58550557,658,1305195157,960548596,70DAC78498AFC6D766D860C433265A274D48B7D8,-1454286639,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181173,2025-04-29T08:39:11.479209581Z,bbn-1,70DAC78498AFC6D766D860C433265A274D48B7D8,67,100,100,100,58550557,658,1305195157,952813050,718160E3538E0B0ED83D3B3DC4ECE83809FCD107,-1454263981,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181174,2025-04-29T08:39:21.610523808Z,bbn-1,718160E3538E0B0ED83D3B3DC4ECE83809FCD107,68,100,100,100,58550557,658,1305195157,932300320,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,-1454241323,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181175,2025-04-29T08:39:31.674912265Z,bbn-1,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,89,100,100,100,58550557,658,1305195157,794985252,6CC0A1531FF58D61DC9061C5B89BC0EFC07911FC,-1454218665,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181176,2025-04-29T08:39:41.852728247Z,bbn-1,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,66,100,100,100,58550557,658,1305195157,816538972,6CC0A1531FF58D61DC9061C5B89BC0EFC07911FC,-1454196007,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,False,2.0
181177,2025-04-29T08:39:51.829795367Z,bbn-1,6CC0A1531FF58D61DC9061C5B89BC0EFC07911FC,75,100,100,100,58550557,658,1305195157,804609796,5C78A0762F13B0B2A793E82D1A178EB45642234D,-1454173349,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181178,2025-04-29T08:40:01.85669109Z,bbn-1,5C78A0762F13B0B2A793E82D1A178EB45642234D,76,100,100,100,58550557,658,1305195157,792073463,23DF4A8418762CEA4D24B7227AD125DF76D2BAF6,-1454150691,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181179,2025-04-29T08:40:11.945773262Z,bbn-1,23DF4A8418762CEA4D24B7227AD125DF76D2BAF6,77,100,100,100,58550557,658,1305195157,799543058,53406DE83381DD804632447F1BAED00CF28048E0,-1454128033,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181180,2025-04-29T08:40:22.150608424Z,bbn-1,53406DE83381DD804632447F1BAED00CF28048E0,83,100,100,100,58550557,658,1305195157,813005925,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,-1454105375,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181181,2025-04-29T08:40:32.148272029Z,bbn-1,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,73,100,100,100,58550557,658,1305195157,830000175,EC033669FE506006F870BD8B12CB524A3ABC3693,-1454082717,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
181182,2025-04-29T08:40:42.199587194Z,bbn-1,EC033669FE506006F870BD8B12CB524A3ABC3693,82,100,100,100,58550557,658,1305195157,810474344,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,-1454060059,B3F0E466CF435FC603117E6CD516AB7E6337E212,False,True,1.0
