channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom
channel-660,14916,25170342,2025-04-06T23:25:56.711904,25170344.0,2025-04-06T23:26:08.892900,2.0,2344uatom,
channel-569,346065,25170342,2025-04-06T23:25:56.711904,25170344.0,2025-04-06T23:26:08.892900,2.0,2344uatom,
channel-391,390112,25170340,2025-04-06T23:25:44.658310,25170342.0,2025-04-06T23:25:56.711904,2.0,427uatom,
channel-536,14269,25170339,2025-04-06T23:25:38.297270,25170343.0,2025-04-06T23:26:02.767255,4.0,698uatom,
channel-569,346064,25170333,2025-04-06T23:25:05.711315,25170335.0,2025-04-06T23:25:17.984814,2.0,2616uatom,
channel-141,4410382,25170331,2025-04-06T23:24:53.653837,25170334.0,2025-04-06T23:25:11.849607,3.0,697uatom,
channel-1252,3885,25170326,2025-04-06T23:24:23.075839,25170329.0,2025-04-06T23:24:41.391038,3.0,2625uatom,
channel-569,346063,25170326,2025-04-06T23:24:23.075839,25170328.0,2025-04-06T23:24:35.479105,2.0,2625uatom,
channel-569,346062,25170322,2025-04-06T23:23:58.918436,25170325.0,2025-04-06T23:24:17.052744,3.0,2505uatom,
channel-141,4410381,25170317,2025-04-06T23:23:30.144810,25170319.0,2025-04-06T23:23:40.561077,2.0,637uatom,
channel-141,4410379,25170316,2025-04-06T23:23:24.061514,25170319.0,2025-04-06T23:23:40.561077,3.0,416uatom,
channel-141,4410380,25170316,2025-04-06T23:23:24.061514,25170319.0,2025-04-06T23:23:40.561077,3.0,416uatom,
channel-220,116201,25170316,2025-04-06T23:23:24.061514,25170318.0,2025-04-06T23:23:36.669908,2.0,416uatom,
channel-141,4410378,25170313,2025-04-06T23:23:05.845018,25170315.0,2025-04-06T23:23:17.915514,2.0,6627uatom,
channel-569,346061,25170308,2025-04-06T23:22:35.043284,25170310.0,2025-04-06T23:22:47.482796,2.0,1660uatom,
channel-141,4410377,25170306,2025-04-06T23:22:22.999244,25170309.0,2025-04-06T23:22:41.270733,3.0,2335uatom,
channel-141,4410375,25170304,2025-04-06T23:22:14.795592,25170306.0,2025-04-06T23:22:22.999244,2.0,618uatom,
channel-141,4410376,25170304,2025-04-06T23:22:14.795592,25170306.0,2025-04-06T23:22:22.999244,2.0,618uatom,
channel-235,44264,25170302,2025-04-06T23:22:02.655768,25170307.0,2025-04-06T23:22:28.885624,5.0,1424uatom,
channel-141,4410374,25170300,2025-04-06T23:21:50.728458,25170302.0,2025-04-06T23:22:02.655768,2.0,1168uatom,
channel-660,14915,25170300,2025-04-06T23:21:50.728458,25170302.0,2025-04-06T23:22:02.655768,2.0,1168uatom,
channel-391,390111,25170299,2025-04-06T23:21:44.512202,25170303.0,2025-04-06T23:22:08.647722,4.0,2306uatom,
channel-141,4410373,25170299,2025-04-06T23:21:44.512202,25170301.0,2025-04-06T23:21:56.711387,2.0,2306uatom,
channel-569,346060,25170299,2025-04-06T23:21:44.512202,25170301.0,2025-04-06T23:21:56.711387,2.0,2306uatom,
channel-1252,3884,25170297,2025-04-06T23:21:36.445619,25170300.0,2025-04-06T23:21:50.728458,3.0,2562uatom,
channel-569,346059,25170292,2025-04-06T23:21:06.502355,25170295.0,2025-04-06T23:21:23.919449,3.0,424uatom,
channel-339,16519,25170288,2025-04-06T23:20:45.172087,25170291.0,2025-04-06T23:21:00.362658,3.0,2745uatom,
channel-141,4410372,25170286,2025-04-06T23:20:33.094060,25170289.0,2025-04-06T23:20:51.291181,3.0,638uatom,
channel-141,4410371,25170274,2025-04-06T23:19:23.842869,25170276.0,2025-04-06T23:19:32.060941,2.0,2058uatom,
channel-141,4410370,25170269,2025-04-06T23:18:55.860303,25170271.0,2025-04-06T23:19:05.749073,2.0,2218uatom,
channel-569,346058,25170267,2025-04-06T23:18:43.468624,25170269.0,2025-04-06T23:18:55.860303,2.0,417uatom,
channel-220,116200,25170267,2025-04-06T23:18:43.468624,25170269.0,2025-04-06T23:18:55.860303,2.0,417uatom,
channel-141,4410368,25170266,2025-04-06T23:18:37.371340,25170268.0,2025-04-06T23:18:49.665620,2.0,2087uatom,
channel-141,4410369,25170266,2025-04-06T23:18:37.371340,25170268.0,2025-04-06T23:18:49.665620,2.0,2087uatom,
channel-343,126326,25170265,2025-04-06T23:18:31.320392,25170268.0,2025-04-06T23:18:49.665620,3.0,635uatom,
channel-141,4410367,25170264,2025-04-06T23:18:25.258359,25170266.0,2025-04-06T23:18:37.371340,2.0,636uatom,
channel-301,77913,25170260,2025-04-06T23:18:03.066851,25170262.0,2025-04-06T23:18:13.072612,2.0,2572uatom,
channel-1266,45019,25170260,2025-04-06T23:18:03.066851,25170263.0,2025-04-06T23:18:19.132230,3.0,2572uatom,
channel-730,32353,25170258,2025-04-06T23:17:50.896013,25170261.0,2025-04-06T23:18:07.071198,3.0,2274uatom,
channel-141,4410366,25170249,2025-04-06T23:16:55.647733,25170251.0,2025-04-06T23:17:07.940477,2.0,397uatom,
channel-141,4410365,25170243,2025-04-06T23:16:25.331440,25170246.0,2025-04-06T23:16:37.391307,3.0,2158uatom,
channel-141,4410364,25170236,2025-04-06T23:15:43.058767,25170238.0,2025-04-06T23:15:55.006067,2.0,695uatom,
channel-141,4410363,25170230,2025-04-06T23:15:05.642591,25170232.0,2025-04-06T23:15:17.779182,2.0,638uatom,
channel-339,16518,25170229,2025-04-06T23:14:59.596520,25170232.0,2025-04-06T23:15:17.779182,3.0,1649uatom,
channel-730,32352,25170220,2025-04-06T23:14:04.719717,25170223.0,2025-04-06T23:14:22.813751,3.0,2625uatom,
channel-141,4410362,25170211,2025-04-06T23:13:16.528614,25170213.0,2025-04-06T23:13:24.847494,2.0,7402uatom,
channel-141,4410361,25170210,2025-04-06T23:13:10.386960,25170213.0,2025-04-06T23:13:24.847494,3.0,2294uatom,
channel-141,4410360,25170206,2025-04-06T23:12:45.718556,25170208.0,2025-04-06T23:12:57.784848,2.0,418uatom,
channel-339,16517,25170203,2025-04-06T23:12:27.655270,25170207.0,2025-04-06T23:12:51.616712,4.0,628uatom,
channel-339,16516,25170199,2025-04-06T23:12:03.528772,25170203.0,2025-04-06T23:12:27.655270,4.0,2723uatom,
channel-141,4410359,25170195,2025-04-06T23:11:41.097470,25170197.0,2025-04-06T23:11:51.073299,2.0,2193uatom,
channel-141,4410358,25170191,2025-04-06T23:11:16.414798,25170194.0,2025-04-06T23:11:34.973064,3.0,1442uatom,
channel-569,346057,25170191,2025-04-06T23:11:16.414798,25170193.0,2025-04-06T23:11:28.944860,2.0,1442uatom,
