channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom
channel-216,96971,33081727,2025-04-06T23:26:30.991438,,,,,
channel-85077,98699,33081724,2025-04-06T23:26:27.559844,,,,,
channel-750,749391,33081723,2025-04-06T23:26:26.345646,,,,,
channel-184,138875,33081722,2025-04-06T23:26:25.034350,,,,,
channel-85077,98698,33081722,2025-04-06T23:26:25.034350,,,,,
channel-874,305769,33081715,2025-04-06T23:26:16.053537,33081722.0,2025-04-06T23:26:25.034350,7.0,,
channel-144,87609,33081714,2025-04-06T23:26:14.807723,33081727.0,2025-04-06T23:26:30.991438,13.0,,
channel-19774,352141,33081707,2025-04-06T23:26:05.271800,33081715.0,2025-04-06T23:26:16.053537,8.0,,
channel-19774,352140,33081706,2025-04-06T23:26:04.237053,33081715.0,2025-04-06T23:26:16.053537,9.0,,
channel-122,681395,33081700,2025-04-06T23:25:57.691243,33081704.0,2025-04-06T23:26:02.097000,4.0,,
channel-783,108731,33081699,2025-04-06T23:25:56.582070,33081706.0,2025-04-06T23:26:04.237053,7.0,,
channel-783,108732,33081699,2025-04-06T23:25:56.582070,33081706.0,2025-04-06T23:26:04.237053,7.0,,
channel-783,108733,33081699,2025-04-06T23:25:56.582070,33081706.0,2025-04-06T23:26:04.237053,7.0,,
channel-0,4113957,33081698,2025-04-06T23:25:55.348283,33081717.0,2025-04-06T23:26:19.381045,19.0,,
channel-0,4113956,33081697,2025-04-06T23:25:54.210215,33081711.0,2025-04-06T23:26:09.901595,14.0,,
channel-320,122025,33081694,2025-04-06T23:25:50.856951,33081711.0,2025-04-06T23:26:09.901595,17.0,,
channel-0,4113955,33081692,2025-04-06T23:25:48.275157,33081705.0,2025-04-06T23:26:03.145487,13.0,,
channel-6,66930,33081686,2025-04-06T23:25:41.577434,33081707.0,2025-04-06T23:26:05.271800,21.0,,
channel-1429,143707,33081685,2025-04-06T23:25:40.409621,33081697.0,2025-04-06T23:25:54.210215,12.0,,
channel-232,50031,33081682,2025-04-06T23:25:37.015094,,,,,
channel-122,681394,33081682,2025-04-06T23:25:37.015094,33081687.0,2025-04-06T23:25:42.729748,5.0,,
channel-6787,170855,33081681,2025-04-06T23:25:34.894284,33081686.0,2025-04-06T23:25:41.577434,5.0,,
channel-2,132489,33081681,2025-04-06T23:25:34.894284,33081694.0,2025-04-06T23:25:50.856951,13.0,,
