channel_id,sequence,recv_height,recv_time,fee_amount,fee_denom,source_port,destination_channel,timeout_height
channel-3,2341155,33081726,2025-04-06T23:26:29.917696,,,transfer,channel-208,1-33098650
channel-3,2341155,33081726,2025-04-06T23:26:29.917696,,,transfer,channel-208,1-33098650
channel-3,2341155,33081726,2025-04-06T23:26:29.917696,,,transfer,channel-208,1-33098650
channel-1,620300,33081726,2025-04-06T23:26:29.917696,,,transfer,channel-750,24451543-24451643
channel-1,620301,33081726,2025-04-06T23:26:29.917696,,,transfer,channel-750,0-0
channel-2,1464,33081714,2025-04-06T23:26:14.807723,,,transfer,channel-85486,18446744073709551615-18446744073709551615
channel-1,620299,33081700,2025-04-06T23:25:57.691243,,,transfer,channel-750,0-0
channel-1,620299,33081700,2025-04-06T23:25:57.691243,,,transfer,channel-750,0-0
channel-1,620299,33081700,2025-04-06T23:25:57.691243,,,transfer,channel-750,0-0
channel-1,620299,33081700,2025-04-06T23:25:57.691243,,,transfer,channel-750,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
channel-56527,7,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus1jhwmhcx7s2287x89v8vnxfcl8m7m63k2v66wl78zglef6k9q979sp3ylph.0,channel-97580,0-0
channel-54830,9,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus14zdz3d4z4j63ypnrl463r8fvl4q242gu9qg38aa7aempnc7c9puqu57h6f.0,channel-89712,0-0
channel-55842,15,33081699,2025-04-06T23:25:56.582070,,,icacontroller-nolus166ngve2hgynjajzuhx4q0w4nx4mgtuf7yhahnna299rmpfsn54hsuhk3y7.0,channel-92644,0-0
