channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom
channel-141,4403899,25128772,2025-04-04T03:59:17.127250,25128775.0,2025-04-04T03:59:31.392442,3.0,638uatom,
channel-141,4403898,25128770,2025-04-04T03:59:04.554117,25128772.0,2025-04-04T03:59:17.127250,2.0,2273uatom,
channel-141,4403897,25128769,2025-04-04T03:58:58.528744,25128771.0,2025-04-04T03:59:10.649875,2.0,638uatom,
channel-342,8385,25128766,2025-04-04T03:58:40.177233,25128770.0,2025-04-04T03:59:04.554117,4.0,2575uatom,
channel-141,4403896,25128762,2025-04-04T03:58:15.118357,25128764.0,2025-04-04T03:58:27.713829,2.0,2662uatom,
channel-288,18891,25128760,2025-04-04T03:58:05.269520,25128763.0,2025-04-04T03:58:21.568850,3.0,2206uatom,
channel-141,4403895,25128758,2025-04-04T03:57:52.722119,25128760.0,2025-04-04T03:58:05.269520,2.0,2991uatom,
channel-141,4403894,25128753,2025-04-04T03:57:22.296889,25128755.0,2025-04-04T03:57:34.269666,2.0,1954uatom,
channel-141,4403893,25128752,2025-04-04T03:57:16.332573,25128755.0,2025-04-04T03:57:34.269666,3.0,697uatom,
channel-141,4403892,25128748,2025-04-04T03:56:52.027797,25128750.0,2025-04-04T03:57:04.004238,2.0,1719uatom,
channel-569,345432,25128743,2025-04-04T03:56:25.358743,25128745.0,2025-04-04T03:56:33.582886,2.0,643uatom,
channel-141,4403891,25128730,2025-04-04T03:55:08.392829,25128732.0,2025-04-04T03:55:20.465745,2.0,1972uatom,
channel-141,4403890,25128722,2025-04-04T03:54:20.572378,25128724.0,2025-04-04T03:54:32.775331,2.0,636uatom,
channel-293,14915,25128707,2025-04-04T03:52:54.838902,25128711.0,2025-04-04T03:53:16.924015,4.0,585uatom,
channel-859,24823,25128699,2025-04-04T03:52:06.569706,25128703.0,2025-04-04T03:52:30.510961,4.0,7117uatom,
channel-141,4403889,25128685,2025-04-04T03:50:43.431843,25128688.0,2025-04-04T03:50:59.710225,3.0,394uatom,
channel-141,4403888,25128684,2025-04-04T03:50:37.364618,25128687.0,2025-04-04T03:50:53.559155,3.0,423uatom,
channel-141,4403887,25128682,2025-04-04T03:50:25.069317,25128685.0,2025-04-04T03:50:43.431843,3.0,682uatom,
channel-569,345431,25128678,2025-04-04T03:50:05.143374,25128681.0,2025-04-04T03:50:19.109883,3.0,415uatom,
channel-141,4403886,25128675,2025-04-04T03:49:47.127480,25128677.0,2025-04-04T03:49:59.263981,2.0,2734uatom,
channel-141,4403885,25128665,2025-04-04T03:48:45.161527,25128667.0,2025-04-04T03:48:57.516125,2.0,420uatom,
channel-141,4403884,25128660,2025-04-04T03:48:16.837692,25128663.0,2025-04-04T03:48:32.939282,3.0,735uatom,
channel-141,4403883,25128653,2025-04-04T03:47:34.133262,25128655.0,2025-04-04T03:47:46.492629,2.0,3323uatom,
channel-141,4403882,25128647,2025-04-04T03:47:01.607591,25128649.0,2025-04-04T03:47:13.707542,2.0,735uatom,
channel-141,4403881,25128644,2025-04-04T03:46:43.378990,25128646.0,2025-04-04T03:46:55.473761,2.0,2297uatom,
channel-141,4403880,25128640,2025-04-04T03:46:18.915642,25128642.0,2025-04-04T03:46:31.220190,2.0,1632uatom,
channel-141,4403879,25128633,2025-04-04T03:45:39.108689,25128635.0,2025-04-04T03:45:50.938634,2.0,2313uatom,
channel-141,4403878,25128632,2025-04-04T03:45:32.921611,25128634.0,2025-04-04T03:45:45.016883,2.0,3026uatom,
channel-859,24822,25128622,2025-04-04T03:44:32.202119,25128626.0,2025-04-04T03:44:56.555338,4.0,1376uatom,
channel-141,4403877,25128621,2025-04-04T03:44:25.595685,25128624.0,2025-04-04T03:44:44.454143,3.0,757uatom,
channel-940,1412,25128619,2025-04-04T03:44:13.809133,25128622.0,2025-04-04T03:44:32.202119,3.0,3649uatom,
channel-141,4403876,25128614,2025-04-04T03:43:47.260852,25128617.0,2025-04-04T03:44:05.546735,3.0,2670uatom,
channel-326,131517,25128607,2025-04-04T03:43:07.774760,25128610.0,2025-04-04T03:43:23.793725,3.0,3668uatom,
channel-141,4403875,25128601,2025-04-04T03:42:26.354468,25128603.0,2025-04-04T03:42:43.149489,2.0,1965uatom,
channel-141,4403874,25128591,2025-04-04T03:41:28.908143,25128594.0,2025-04-04T03:41:43.060257,3.0,695uatom,
channel-141,4403873,25128590,2025-04-04T03:41:22.845100,25128592.0,2025-04-04T03:41:35.064531,2.0,2786uatom,
channel-141,4403872,25128579,2025-04-04T03:40:21.594555,25128581.0,2025-04-04T03:40:33.751509,2.0,638uatom,
channel-141,4403871,25128565,2025-04-04T03:38:56.258913,25128567.0,2025-04-04T03:39:08.465144,2.0,5900uatom,
channel-569,345430,25128562,2025-04-04T03:38:42.132490,25128564.0,2025-04-04T03:38:50.219544,2.0,1563uatom,
channel-141,4403870,25128561,2025-04-04T03:38:38.203381,25128564.0,2025-04-04T03:38:50.219544,3.0,3009uatom,
channel-141,4403869,25128555,2025-04-04T03:38:01.609363,25128557.0,2025-04-04T03:38:14.011706,2.0,7193uatom,
channel-141,4403868,25128554,2025-04-04T03:37:54.679576,25128556.0,2025-04-04T03:38:07.740035,2.0,638uatom,
channel-141,4403867,25128550,2025-04-04T03:37:34.265624,25128552.0,2025-04-04T03:37:46.427407,2.0,2213uatom,
channel-141,4403866,25128548,2025-04-04T03:37:22.005130,25128550.0,2025-04-04T03:37:34.265624,2.0,638uatom,
channel-141,4403865,25128545,2025-04-04T03:37:03.639881,25128547.0,2025-04-04T03:37:15.890113,2.0,2908uatom,
channel-569,345429,25128541,2025-04-04T03:36:39.448212,25128544.0,2025-04-04T03:36:57.777026,3.0,2319uatom,
channel-141,4403863,25128538,2025-04-04T03:36:21.517522,25128540.0,2025-04-04T03:36:33.465760,2.0,2314uatom,
channel-141,4403864,25128538,2025-04-04T03:36:21.517522,25128540.0,2025-04-04T03:36:33.465760,2.0,2314uatom,
